category,up_category
Software,Software
Mobile,Mobile
Biotechnology,Biotechnology
E-Commerce,E-Commerce
Curated Web,Marketing
Enterprise Software,Software
Health Care,Health Care
Social Media,Entertainment
Games,Entertainment
Advertising,Marketing
Clean Technology,Technology
Education,Services
Finance,Services
Health and Wellness,Health Care
Hardware + Software,Software
Manufacturing,Manufacturing
Internet,Technology
Technology,Technology
Analytics,Services
Services,Services
Security,Technology
Real Estate,Manufacturing
Consulting,Services
Semiconductors,Manufacturing
Apps,Mobile
SaaS,Software
Hospitality,Services
Travel,Services
Medical,Health Care
Fashion,Entertainment
Web Hosting,Services
Marketplaces,E-Commerce
Financial Services,Services
Music,Entertainment
Information Technology,Technology
Sports,Entertainment
News,Entertainment
Messaging,Entertainment
Video,Entertainment
Search,Technology
Automotive,Manufacturing
Entertainment,Entertainment
Media,Entertainment
Transportation,Manufacturing
Design,Services
Medical Devices,Health Care
Networking,Entertainment
Pharmaceuticals,Health Care
Consumer Goods,E-Commerce
Energy,Manufacturing
Photography,Services
Public Relations,Entertainment
Retail,E-Commerce
Big Data,Technology
Telecommunications,Entertainment
Consumer Electronics,Technology
Cloud Computing,Technology
Social Network Media,Entertainment
Nanotechnology,Technology
Business Services,Services
Digital Media,Entertainment
Public Transportation,Manufacturing
Recruiting,Services
Service Providers,Services
Food Processing,Entertainment
FinTech,Services
Legal,Services
Internet of Things,Technology
Restaurants,Entertainment
Electronics,Technology
Events,Services
Mobile Commerce,E-Commerce
Environmental Innovation,Manufacturing
Payments,Services
Big Data Analytics,Technology
Publishing,Marketing
Health Care Information Technology,Health Care
Local Businesses,Services
Logistics,Services
Sales and Marketing,Marketing
Game,Entertainment
Online Shopping,E-Commerce
Renewable Energies,Manufacturing
Travel & Tourism,Services
Pets,Entertainment
Consumers,Entertainment
Customer Service,Services
Web Development,Software
Location Based Services,Services
Fitness,Entertainment
Human Resources,Services
Enterprises,Services
Agriculture,Entertainment
Network Security,Technology
Information Services,Services
Aerospace,Manufacturing
Communities,Entertainment
Mobile Games,Entertainment
Specialty Foods,Entertainment
Wireless,Technology
Alumni,Services
Collaboration,Entertainment
Social Commerce,E-Commerce
Crowdsourcing,Services
Hardware,Manufacturing
Application Platforms,Mobile
Content,Marketing
Brand Marketing,Marketing
Storage,Manufacturing
3D Printing,Entertainment
Marketing Automation,Marketing
Beauty,Entertainment
Banking,Services
B2B,E-Commerce
Oil & Gas,Manufacturing
Crowdfunding,Services
Construction,Manufacturing
Hospitals,Health Care
Computers,Technology
Wine And Spirits,Entertainment
Small and Medium Businesses,Services
Venture Capital,Services
Investment Management,Services
Insurance,Services
Bitcoin,Services
Broadcasting,Entertainment
Market Research,Marketing
Internet Marketing,Marketing
Video Streaming,Entertainment
Real Time,Software
Databases,Technology
Bio-Pharm,Biotechnology
Advertising Platforms,Marketing
Training,Services
Solar,Manufacturing
Online Travel,Services
Industrial,Manufacturing
Finance Technology,Services
Healthcare Services,Health Care
Cyber Security,Technology
Machine Learning,Technology
Mobile Payments,Services
Cloud Data Services,Technology
Android,Mobile
Development Platforms,Software
Shopping,E-Commerce
Home Automation,Software
Oil,Manufacturing
Health Diagnostics,Health Care
Data Security,Technology
Social Media Marketing,Marketing
Kids,Entertainment
Productivity Software,Software
Cosmetics,Entertainment
Event Management,Services
Artificial Intelligence,Technology
Cars,Manufacturing
Reviews and Recommendations,Entertainment
Furniture,Manufacturing
Art,Entertainment
Oil and Gas,Manufacturing
Robotics,Manufacturing
Trading,Services
Developer APIs,Software
Chemicals,Manufacturing
Therapeutics,Health Care
CRM,E-Commerce
Sporting Goods,Entertainment
Web Tools,Software
Energy Efficiency,Manufacturing
Peer-to-Peer,E-Commerce
Mobile Advertising,Marketing
Organic Food,Entertainment
Consumer Internet,Entertainment
3D,Entertainment
Wearables,Entertainment
Delivery,Entertainment
Sensors,Manufacturing
Farming,Entertainment
Video Games,Entertainment
Life Sciences,Entertainment
Online Education,Services
Craft Beer,Entertainment
Home Decor,Entertainment
Lifestyle,Entertainment
EdTech,Services